"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";1505000;-838565;1505;1453;136,239984341357;405;5;29;6;384;6
"Магазин2";1341000;-914090;1341;1502;97,8823394742503;299;6;61;7;340;7
"Магазин3";872000;-1447140;872;2036;132,838068267166;365;2;14;1;403;1
"Магазин4";1947000;-333190;1947;946;100,847126171958;371;3;67;4;348;4
"Магазин5";1618000;-704225;1618;1317;140,99696045356;368;7;15;1;396;1
"Магазин6";2033000;-258725;2033;877;108,77477823904;407;4;113;7;289;7
"Магазин7";1336000;-977175;1336;1579;137,157365304029;414;7;34;6;379;6
"Магазин8";1536000;-739170;1536;1338;131,836839999116;392;1;53;3;364;3
"Магазин9";1546000;-756290;1546;1362;142,046270127529;401;3;31;5;390;5
"Магазин10";1733000;-555760;1733;1164;94,3854811272319;371;4;136;2;277;2
"Итого";15467000;-7524330;15467;13574;1223,00521350524;NA;NA;NA;NA;NA;NA
"Среднее";1546700;-752433;1546,7;1357,4;122,300521350524;NA;NA;NA;NA;NA;NA
