"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";286400;-46994;200;179;15,725320800725;44;1;6;3;47;3
"Магазин2";413848;67346;289;106;19,058806238537;56;7;4;1;49;1
"Магазин3";358000;24320;250;130;17,8018190616791;55;4;4;5;51;5
"Магазин4";292128;-40332;204;174;14,8708727767693;49;2;6;7;47;4
"Магазин5";254896;-79648;178;202;19,721875695592;55;4;2;7;52;7
"Магазин6";320768;-18540;224;162;20,7284024147223;57;4;4;6;47;6
"Магазин7";426736;85658;298;91;14,1286605033544;54;2;13;5;47;5
"Магазин8";250600;-83094;175;204;20,0333056017556;54;3;4;7;46;7
"Магазин9";330792;-1344;231;147;15,0775771705315;49;5;4;2;49;2
"Магазин10";270648;-61992;189;189;19,4593593591019;52;6;1;5;54;5
"Итого";3204816;-154620;2238;1584;176,605999622768;NA;NA;NA;NA;NA;NA
"Среднее";320481,6;-15462;223,8;158,4;17,6605999622768;NA;NA;NA;NA;NA;NA
