"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";5118000;-2902200;853;836;83,237468669321;256;2;36;6;219;7
"Магазин2";6780000;-1113000;1130;550;66,7554171156597;239;2;69;3;142;3
"Магазин3";3864000;-3875900;644;975;91,8368117913509;233;4;7;6;240;6
"Магазин4";5436000;-1901900;906;647;94,494897821447;271;1;16;6;244;6
"Магазин5";5418000;-3444700;903;961;99,6962052102954;272;4;48;2;247;6
"Магазин6";5088000;-3134600;848;882;72,2274845457706;255;5;28;1;217;1
"Магазин7";4746000;-3709300;791;983;61,6414362800435;191;5;33;2;243;2
"Магазин8";7704000;-64400;1284;380;68,6412343101364;261;6;73;4;141;4
"Магазин9";4428000;-3631600;738;952;83,9818574511923;217;5;10;2;281;4
"Магазин10";5538000;-2397500;923;753;67,6348740700845;251;5;26;1;174;1
"Итого";54120000;-26175100;9020;7919;790,147687265301;NA;NA;NA;NA;NA;NA
"Среднее";5412000;-2617510;902;791,9;79,0147687265301;NA;NA;NA;NA;NA;NA
