"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";10152000;-17731200;1269;3543;138,45542518047;377;6;22;5;750;5
"Магазин2";23640000;-3669100;2955;1874;217,129322886484;627;2;93;6;634;6
"Магазин3";18728000;-8667400;2341;2461;223,16201673736;662;6;49;7;645;7
"Магазин4";16200000;-11363100;2025;2784;175,985524296474;503;3;59;7;643;4
"Магазин5";25048000;187000;3131;1295;183,76045483701;616;4;213;1;503;1
"Магазин6";24160000;-3990400;3020;1956;243,056822672434;736;1;83;6;580;6
"Магазин7";18312000;-10779800;2289;2797;244,493353692897;711;1;32;6;705;6
"Магазин8";15696000;-11402600;1962;2764;238,223084723622;608;4;20;7;642;7
"Магазин9";21904000;-5757400;2738;2136;256,59529001356;773;5;105;4;582;4
"Магазин10";26416000;-783800;3302;1532;177,530949682691;659;5;190;1;522;1
"Итого";200256000;-73957800;25032;23142;2098,392244723;NA;NA;NA;NA;NA;NA
"Среднее";20025600;-7395780;2503,2;2314,2;209,8392244723;NA;NA;NA;NA;NA;NA
