"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";537768;46628;99;76;12,2940171279715;28;4;1;3;27;3
"Магазин2";363944;-100908;67;94;3,59894164336975;14;1;5;3;21;6
"Магазин3";738752;261368;136;41;7,18463970001611;29;5;7;7;19;7
"Магазин4";445424;-73568;82;99;6,92132660006461;23;7;1;5;29;5
"Магазин5";619248;111312;114;69;11,3389341902768;30;4;2;3;22;6
"Магазин6";597520;115432;110;64;8,11817478900041;28;6;7;3;19;5
"Магазин7";510608;29216;94;77;8,46280376819926;24;4;1;2;19;2
"Магазин8";624680;123508;115;66;9,36050466689952;28;1;5;5;25;7
"Магазин9";559496;79852;103;69;7,93125222803826;22;1;3;2;25;4
"Магазин10";564928;45368;104;81;8,27503416767511;25;5;2;3;24;3
"Итого";5562368;638208;1024;736;83,4856288815114;NA;NA;NA;NA;NA;NA
"Среднее";556236,8;63820,8;102,4;73,6;8,34856288815114;NA;NA;NA;NA;NA;NA
