"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";55760;-1980;164;116;14,615712354143;41;2;1;5;48;5
"Магазин2";42500;-19910;125;174;15,3452334774089;45;6;3;2;40;5
"Магазин3";51000;-9100;150;140;14,45518526178;41;6;1;4;47;4
"Магазин4";48280;-8500;142;132;16,1008724992808;44;3;2;6;34;1
"Магазин5";64600;2305;190;113;8,55235974119758;40;5;14;3;35;3
"Магазин6";67660;9585;199;85;12,7783298707505;41;1;3;5;42;5
"Магазин7";49640;-4500;146;116;11,8241077384099;33;2;4;4;38;3
"Магазин8";52700;-7110;155;134;13,3470167881387;39;5;7;2;36;2
"Магазин9";64600;4455;190;103;8,39500985563391;35;4;12;2;37;2
"Магазин10";62560;1250;184;114;19,0500593674865;48;7;3;2;44;2
"Итого";559300;-33505;1645;1227;134,46388695423;NA;NA;NA;NA;NA;NA
"Среднее";55930;-3350,5;164,5;122,7;13,446388695423;NA;NA;NA;NA;NA;NA
